OTUs
OTU01374
OTU04145
OTU03373
OTU02625
OTU00424
OTU03862
OTU01453
OTU01700
OTU00488
OTU00657
OTU03768
OTU02331
OTU04119
OTU02702
OTU04326
OTU03434
OTU04517
OTU00304
OTU00408
OTU05486
OTU01317
OTU02008
OTU01867
OTU06331
OTU04904
OTU03382
OTU00758
OTU03556
OTU00205
OTU00512
OTU03335
OTU01964
OTU04918
OTU00337
OTU00423
OTU03524
OTU01342
OTU05844
OTU00859
OTU00814
OTU00301
OTU02029
OTU00749
OTU06033
OTU06526
OTU05830
OTU03602
OTU00016
OTU01152
OTU04665
OTU00925
OTU00747
OTU04607
OTU01860
OTU00908
OTU06439
OTU05629
OTU01770
OTU03310
OTU04903
OTU05407
OTU03119
OTU00546
OTU03892
OTU05479
OTU00716
OTU04900
OTU05342
OTU00586
OTU05452
OTU05106
OTU04649
OTU03430
OTU05305
OTU06936
OTU01674
OTU01522
OTU02314
OTU00939
OTU03174
OTU06918
OTU01913
OTU03381
OTU05293
OTU00130
OTU01151
OTU05836
OTU00118
OTU06530
OTU03834
OTU01884
OTU01239
OTU02010
OTU01653
OTU00310
OTU05621
OTU06929
OTU00781
OTU04345
OTU03135
OTU06032
OTU05835
OTU00268
OTU02055
OTU05207
OTU04502
OTU03294
OTU00889
OTU00358
OTU06118
OTU06020
OTU06341
OTU03137
OTU05581
OTU01049
OTU00251
OTU00818
OTU05619
OTU02021
OTU00192
OTU04980
OTU05735
OTU00306
OTU05606
OTU01579
OTU00159
OTU00951
OTU06961
OTU06817
OTU03822
OTU02127
OTU05437
OTU03543
OTU01154
OTU01615
OTU00157
OTU00129
OTU05874
OTU03885
OTU00690
OTU01639
OTU01728
OTU00240
OTU00124
OTU05686
OTU05806
OTU02555
OTU06774
OTU00070
OTU05604
OTU04894
OTU01184
OTU02054
OTU05747
OTU06215
OTU00732
OTU02114
OTU03618
OTU01865
OTU03537
OTU04983
OTU04168
OTU05350
OTU03227
OTU04160
OTU00556
OTU06286
OTU02561
OTU06665
OTU00573
OTU03202
OTU00890
OTU02766
OTU04287
OTU06106
OTU05960
OTU02473
OTU06814
OTU03866
OTU06016
OTU00406
OTU04636
OTU00416
OTU03023
OTU00106
OTU05559
OTU05729
OTU05164
OTU06733
OTU06995
OTU06217
OTU04146
OTU04851
OTU02429
OTU04874
OTU06680
OTU05429
OTU01421
OTU02463
OTU03418
