ANOVA,CHI2,SVM
OTU03434,#N/A,#N/A
OTU04517,#N/A,#N/A
OTU02008,#N/A,#N/A
OTU06331,#N/A,#N/A
OTU00205,#N/A,#N/A
OTU00512,#N/A,#N/A
OTU03524,#N/A,#N/A
OTU01342,#N/A,#N/A
OTU00301,#N/A,#N/A
OTU02029,#N/A,#N/A
OTU06033,#N/A,#N/A
OTU03602,#N/A,#N/A
OTU00016,#N/A,#N/A
OTU04607,#N/A,#N/A
OTU03119,#N/A,#N/A
OTU00546,#N/A,#N/A
OTU04900,#N/A,#N/A
OTU05342,#N/A,#N/A
OTU00586,#N/A,#N/A
OTU05452,#N/A,#N/A
OTU06936,#N/A,#N/A
OTU03174,#N/A,#N/A
OTU01151,#N/A,#N/A
OTU00118,#N/A,#N/A
OTU05207,#N/A,#N/A
OTU03294,#N/A,#N/A
OTU03137,#N/A,#N/A
OTU05735,#N/A,#N/A
OTU00306,#N/A,#N/A
OTU00159,#N/A,#N/A
OTU00690,#N/A,#N/A
OTU01639,#N/A,#N/A
OTU05686,#N/A,#N/A
OTU04894,#N/A,#N/A
OTU04983,#N/A,#N/A
OTU04160,#N/A,#N/A
OTU00556,#N/A,#N/A
OTU03202,#N/A,#N/A
OTU05960,#N/A,#N/A
OTU02473,#N/A,#N/A
OTU03866,#N/A,#N/A
OTU00416,#N/A,#N/A
OTU05559,#N/A,#N/A
OTU05164,#N/A,#N/A
OTU06733,#N/A,#N/A
OTU06995,#N/A,#N/A
OTU04146,#N/A,#N/A
OTU02429,#N/A,#N/A
OTU01421,#N/A,#N/A
OTU03418,#N/A,#N/A
