OTUs
OTU03862
OTU01453
OTU02702
OTU04326
OTU03434
OTU04517
OTU05486
OTU02008
OTU01867
OTU06331
OTU04904
OTU03382
OTU00758
OTU00205
OTU00512
OTU03524
OTU01342
OTU05844
OTU00859
OTU00301
OTU02029
OTU00749
OTU06033
OTU03602
OTU00016
OTU00925
OTU00747
OTU04607
OTU01770
OTU04903
OTU03119
OTU00546
OTU05479
OTU04900
OTU05342
OTU00586
OTU05452
OTU05305
OTU06936
OTU01674
OTU01522
OTU00939
OTU03174
OTU06918
OTU03381
OTU01151
OTU00118
OTU01239
OTU02010
OTU06929
OTU04345
OTU03135
OTU00268
OTU05207
OTU03294
OTU00889
OTU06118
OTU03137
OTU05581
OTU00251
OTU05619
OTU04980
OTU05735
OTU00306
OTU01579
OTU00159
OTU06961
OTU02127
OTU03885
OTU00690
OTU01639
OTU00240
OTU00124
OTU05686
OTU05806
OTU06774
OTU04894
OTU05747
OTU02114
OTU01865
OTU04983
OTU04160
OTU00556
OTU03202
OTU00890
OTU04287
OTU05960
OTU02473
OTU03866
OTU00406
OTU04636
OTU00416
OTU05559
OTU05164
OTU06733
OTU06995
OTU04146
OTU02429
OTU01421
OTU03418
